33, 6, -27, 26, 1
10, 30, 2, 0, -2
11, 29, 2, -2, 0
12, 28, 0, 0, 0
13, 27, 0, -2, 2
14, 26, -2, 0, 2
15, 25, -4, 2, 2
16, 24, -4, 0, 4
17, 23, -6, 2, 4
18, 22, -8, 4, 4
19, 21, -8, 2, 6
20, 20, -6, 2, 4
21, 19, -8, 4, 4
22, 18, -10, 6, 4
23, 17, -12, 8, 4
24, 16, -10, 8, 2
25, 15, -12, 10, 2
26, 14, -14, 12, 2
27, 13, -16, 14, 2
28, 12, -18, 16, 2
29, 11, -20, 18, 2
30, 10, -22, 20, 2
31, 9, -24, 22, 2
32, 8, -22, 22, 0
33, 7, -24, 24, 0
34, 6, -26, 26, 0
10, 31, 3, -1, -2
11, 30, 3, -3, 0
12, 29, 1, -1, 0
13, 28, -1, 1, 0
14, 27, -1, -1, 2
15, 26, -3, 1, 2
16, 25, -3, -1, 4
17, 24, -5, 1, 4
18, 23, -7, 3, 4
19, 22, -7, 1, 6
20, 21, -5, 1, 4
21, 20, -7, 3, 4
22, 19, -9, 5, 4
23, 18, -11, 7, 4
24, 17, -9, 7, 2
25, 16, -11, 9, 2
26, 15, -13, 11, 2
27, 14, -15, 13, 2
28, 13, -17, 15, 2
29, 12, -19, 17, 2
30, 11, -21, 19, 2
31, 10, -23, 21, 2
32, 9, -21, 21, 0
33, 8, -23, 23, 0
34, 7, -25, 25, 0
11, 31, 3, -2, -1
12, 30, 3, -4, 1
13, 29, 1, -2, 1
14, 28, -1, 0, 1
15, 27, -1, -2, 3
16, 26, -3, 0, 3
17, 25, -3, -2, 5
18, 24, -5, 0, 5
19, 23, -7, 2, 5
20, 22, -5, 2, 3
21, 21, -5, 0, 5
22, 20, -7, 2, 5
23, 19, -9, 4, 5
24, 18, -11, 6, 5
25, 17, -9, 6, 3
26, 16, -11, 8, 3
27, 15, -13, 10, 3
28, 14, -15, 12, 3
29, 13, -17, 14, 3
30, 12, -19, 16, 3
31, 11, -21, 18, 3
32, 10, -23, 20, 3
